2026-04-01 00:38:00  | TXN1774984080654 | Account: ACC105 | DEPOSIT      | Amount:    3456.00 | Status: COMPLETED  | DEPOSIT
2026-04-01 00:38:54  | TXN1774984134344 | Account: ACC105 | WITHDRAWAL   | Amount:   -3456.00 | Status: COMPLETED  | WITHDRAWAL
2026-04-01 00:39:40  | TXN1774984180535 | Account: ACC105 | TRANSFER_OUT | Amount:    -234.00 | Status: COMPLETED  | TRANSFER OUT
2026-04-01 00:39:40  | TXN1774984180538 | Account: ACC003 | TRANSFER_IN  | Amount:     234.00 | Status: COMPLETED  | TRANSFER IN
2026-04-01 00:44:14  | TXN1774984454643 | Account: ACC105 | DEPOSIT      | Amount:    6543.00 | Status: COMPLETED  | DEPOSIT
2026-04-01 00:46:31  | TXN1774984591362 | Account: ACC105 | DEPOSIT      | Amount:     123.00 | Status: COMPLETED  | DEPOSIT
2026-04-01 00:49:53  | TXN1774984793492 | Account: ACC105 | DEPOSIT      | Amount:   12345.00 | Status: COMPLETED  | DEPOSIT
2026-04-01 00:52:42  | TXN1774984962227 | Account: ACC105 | DEPOSIT      | Amount:    2341.00 | Status: COMPLETED  | DEPOSIT
2026-04-01 00:54:54  | TXN1774985094971 | Account: ACC105 | WITHDRAWAL   | Amount:  -12345.00 | Status: COMPLETED  | WITHDRAWAL
2026-04-01 18:06:32  | TXN1775046992133 | Account: ACC107 | DEPOSIT      | Amount:  234567.00 | Status: COMPLETED  | DEPOSIT
2026-04-01 18:50:54  | TXN1775049654291 | Account: ACC001 | DEPOSIT      | Amount:   10000.00 | Status: COMPLETED  | DEPOSIT
2026-04-02 19:28:33  | TXN1775138313534 | Account: ACC105 | DEPOSIT      | Amount:   15000.00 | Status: COMPLETED  | DEPOSIT
